name,batch,location,description,tags,yc_profile_url,website,status,team_size
Industrial Microbes,Winter 2015,"San Francisco, CA, USA",We design and build microbes to make chemicals greener at lower cost.,"HEALTHCARE, INDUSTRIAL BIO",https://www.ycombinator.com/companies/industrial-microbes,,,
Giveffect,Winter 2015,"New York City, NY, USA","Fundraising, Volunteer and Donor Management SaaS for nonprofits.","B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/giveffect,,,
eBrandvalue,Winter 2015,"San Francisco, CA, USA",Real-time Nielsen ratings for Brands.Accelerate marketing and product…,"B2B, MARKETING",https://www.ycombinator.com/companies/ebrandvalue,,,
Quantierra,Winter 2015,"New York City, NY, USA",Sourcing investment real estate,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/quantierra,,,
Cleanly,Winter 2015,"New York City, NY, USA",Laundry & Dry Cleaning delivered.,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/cleanly,,,
Resolve,Winter 2015,"New York City, NY, USA",Software to accelerate construction by finding issues in 3D BIM,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/resolve,,,
Makrwatch,Winter 2015,"New York City, NY, USA",Scale new user acquisition with YouTube Creators,"B2B, MARKETING",https://www.ycombinator.com/companies/makrwatch,,,
"TeamNoteHong Kong, Hong Kong",Winter 2015,,Mobile Productivity(Slack for mobile workforces),"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/teamnote,,,
Tempo,Winter 2015,"San Francisco, CA, USA",Live home fitness training powered by computer vision.,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/tempo,,,
"SIRUMSan Francisco, CA, USA",Winter 2015,,SIRUM is a “match.com” for unused medicine. We connect institutional…,UNSPECIFIED,https://www.ycombinator.com/companies/sirum,,,
"Sails Co.Austin, TX, USA",Winter 2015,,"Full-service web, mobile, & cloud studio providing professional…",B2B,https://www.ycombinator.com/companies/sails-co,,,
ReadMe,Winter 2015,"New York City, NY, USA","Beautiful, personalized, interactive developer hubs",B2B,https://www.ycombinator.com/companies/readme,,,
BuildScience,Winter 2015,"Niagara Falls, NY, USA",The operating system for commercial buildings.,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/buildscience,,,
Platzi,Winter 2015,"San Francisco, CA, USA",Turning company knowledge into expert teams,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/platzi,,,
Labdoor,Winter 2015,"San Francisco, CA, USA",Labdoor is building the trusted online drugstore.,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/labdoor,,,
"GiveMeTapLondon, England, United Kingdom",Winter 2015,,We produce & sell stainless steel water bottles that enables people…,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/givemetap,,,
Bankjoy,Winter 2015,"Troy, MI, USA",An end-to-end digital banking solution for banks and credit unions,"FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/bankjoy,,,
Zeitview,Winter 2015,"Los Angeles, CA, USA",Inspection software for renewable energy & sustainable infrastructure,"INDUSTRIALS, DRONES",https://www.ycombinator.com/companies/zeitview,,,
The Human Utility,Winter 2015,"San Francisco, CA, USA",The Human Utility seeks to eliminate water service disconnections for…,UNSPECIFIED,https://www.ycombinator.com/companies/the-human-utility,,,
"Democracy EarthMadrid, Community of Madrid, Spain",Winter 2015,,Censorship resistant democracies.,UNSPECIFIED,https://www.ycombinator.com/companies/democracy-earth,,,
OneSignal,Summer 2011,"San Francisco, CA, USA",Engage customers through personalized omni-channel messaging,"B2B, MARKETING",https://www.ycombinator.com/companies/onesignal,,,
Numerion Labs,Winter 2015,"San Francisco, CA, USA",Artificial intelligence for drug discovery.,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/numerion-labs,,,
Bright,Winter 2015,"New York City, NY, USA",Sunrun for the developing world,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/bright,,,
Magic,Winter 2015,"Washington, DC, USA",Extremely talented assistants for busy people,B2B,https://www.ycombinator.com/companies/magic,,,
Mezmo,Winter 2015,"Miami, FL, USA",Observability platform to control all of your log data,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/mezmo,,,
Akido Labs,Winter 2015,"Los Angeles, CA, USA",Rebuilding healthcare with AI at the core,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/akido-labs,,,
Qventus,Winter 2015,"San Francisco, CA, USA",We automate operations for hospitals and health systems,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/qventus,,,
Bayes Impact,Summer 2014,"San Francisco, CA, USA",Tech nonprofit building the future of public services.,UNSPECIFIED,https://www.ycombinator.com/companies/bayes-impact,,,
Helion Energy,Summer 2014,"Seattle, WA, USA",Building the world's first fusion power plant,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/helion-energy,,,
HackerRank,Summer 2011,"San Francisco, CA, USA",Change the world to value skills over pedigree,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/hackerrank,,,
Front,Summer 2014,"San Francisco, CA, USA",Customer communications hub for building strong relationships,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/front,,,
Apollo,Summer 2011,"San Francisco, CA, USA",Apollo helps engineering teams accelerate delivery,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/apollo,,,
Roomstorm,Summer 2014,"San Francisco, CA, USA",Real time B2B hotel room marketplace for various industries…,"CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/roomstorm,,,
Hive,Summer 2014,"Kitchener, ON, Canada","Marketing automation for event promoters (email, sms, ads, CRM)","B2B, MARKETING",https://www.ycombinator.com/companies/hive,,,
SpotAngels,Summer 2014,"San Francisco, CA, USA",Waze for parking,"CONSUMER, TRANSPORTATION SERVICES",https://www.ycombinator.com/companies/spotangels,,,
UserGemsAustria,Summer 2014,,The AI Command Center for outbound and ABM,"B2B, SALES",https://www.ycombinator.com/companies/usergems,,,
"SFOXLos Angeles, CA, USA",Summer 2014,,Crypto-currency trading platform.,"FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/sfox,,,
Picnic,Summer 2014,"AISan Francisco, CA, USA",Intelligence to accelerate human health.,HEALTHCARE,https://www.ycombinator.com/companies/picnicai,,,
"PermutiveLondon, England, United Kingdom",Summer 2014,,Rebuilding data in advertising to protect privacy,"B2B, MARKETING",https://www.ycombinator.com/companies/permutive,,,
Alchemy,Summer 2014,"Waterloo, ON, Canada",Nanotechnology-enabled coatings for automotive and defence sectors,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/alchemy,,,
MTailor,Summer 2014,"San Francisco, CA, USA",Get measured by your phone in under 30 seconds for perfect fitting…,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/mtailor,,,
MetricWire,Summer 2014,"Kitchener, ON, Canada",Mobile surveys for researchers,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/metricwire,,,
Protocol Labs,Summer 2014,"San Francisco, CA, USA","Protocol Labs makes internet protocols: IPFS, Filecoin, and more.","B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/protocol-labs,,,
Greentoe,Summer 2014,"New York City, NY, USA","""Name Your Price"" for products","CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/greentoe,,,
Hyperpad,Summer 2014,"London, ON, Canada","Create, Share, Play Mobile Games on the iPad.","CONSUMER, GAMING",https://www.ycombinator.com/companies/hyperpad,,,
"FlaviarLjubljana, Ljubljana, Slovenia",Summer 2014,,Try-at-home service for fine spirits,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/flaviar,,,
Clear,Summer 2014,"Bengaluru, KA, India","Fintech SaaS platform for invoices, taxes, wealth management & credit.","FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/cleartax,,,
Backpack,Summer 2014,"New York City, NY, USA",Marketplace to get stuff from overseas,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/backpack,,,
Immunity Project,Winter 2014,"San Francisco, CA, USA",The free HIV vaccine.,UNSPECIFIED,https://www.ycombinator.com/companies/immunity-project,,,
Dyspatch,Winter 2014,"Victoria, BC, Canada","AI Email Production - Emails on brand, guaranteed to work, fast.","B2B, MARKETING",https://www.ycombinator.com/companies/dyspatch,,,
OpenCurriculum,Winter 2014,"Sacramento, CA, USA",Helping K-12 teachers and school administrators build awesome…,UNSPECIFIED,https://www.ycombinator.com/companies/opencurriculum,,,
MixerBox,Winter 2014,"Los Angeles, CA, USA",AI Super-Apps to Live Easier | The anything anytime superapps…,CONSUMER,https://www.ycombinator.com/companies/mixerbox,,,
Y Combinator,,,Make something people want.,FINTECH,https://www.ycombinator.com/companies/y-combinator,,,
GBatteries,Winter 2014,"Ottawa, ON, Canada",Enabling li-ion batteries to charge ultra fast without compromising…,"INDUSTRIALS, CLIMATE",https://www.ycombinator.com/companies/gbatteries,,,
Zinc,Winter 2014,"San Francisco, CA, USA",The secret backbone of e-commerce.,"B2B, RETAIL",https://www.ycombinator.com/companies/zinc,,,
Zidisha,Winter 2014,"Sterling, VA, USA",Direct P2P lending across the international wealth divide.,"FINTECH, CREDIT AND LENDING",https://www.ycombinator.com/companies/zidisha,,,
TrueVault,Winter 2014,"San Francisco, CA, USA",We make Privacy Software for SMBs.,B2B,https://www.ycombinator.com/companies/truevault,,,
Guesty,Winter 2014,"New York City, NY, USA",The management platform for the short term rental industry.,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/guesty,,,
Snapdocs,Winter 2014,"Portland, OR, USA",digital mortgage closing,"REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/snapdocs,,,
Medmonk,Winter 2012,"Milpitas, CA, USA",A tool for pharmacists to find funding for patients who are unable to…,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/medmonk,,,
"ShoobsLondon, England, United Kingdom",Winter 2014,,We help you find and book tickets to great entertainment events that…,"CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/shoobs,,,
Pushbullet,Winter 2014,"San Francisco, CA, USA",Push things to your other things.,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/pushbullet,,,
"PovioCelje, Celje, Slovenia",Winter 2014,,Engineering and Design that Fuels Startup Success,B2B,https://www.ycombinator.com/companies/povio,,,
PiinPoint,Winter 2014,"Kitchener, ON, Canada",PiinPoint helps businesses find the best locations for growth,"B2B, OFFICE MANAGEMENT",https://www.ycombinator.com/companies/piinpoint,,,
One Degree,Winter 2014,"San Francisco, CA, USA",One Degree is a nonprofit organization that makes it easy for…,UNSPECIFIED,https://www.ycombinator.com/companies/one-degree,,,
"MBXSan Francisco, CA, USA",Winter 2014,,A global multi-brand beauty and personal care startup.,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/mbx,,,
EmailioRemote,Winter 2014,,Email built for wellness,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/emailio,,,
CodeNow,Winter 2014,"Chicago, IL, USA",Our mission is to diversify the talent pipeline of students who…,UNSPECIFIED,https://www.ycombinator.com/companies/codenow,,,
CodeCombat,Winter 2014,"Seattle, WA, USA",Game that teaches computer science to middle and high school kids.,EDUCATION,https://www.ycombinator.com/companies/codecombat,,,
Noora Health,Winter 2014,"Traverse City, MI, USA",Training patients and their families with health skills,HEALTHCARE,https://www.ycombinator.com/companies/noora-health,,,
Cambly,Winter 2014,"San Francisco, CA, USA",On-demand access to English tutors over video chat.,EDUCATION,https://www.ycombinator.com/companies/cambly,,,
AptDeco,Winter 2014,"New York City, NY, USA",AptDeco is the easiest way to buy and sell used furniture,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/aptdeco,,,
CareMessage,Winter 2014,"Austin, TX, USA",Patient engagement for low-income populations,HEALTHCARE,https://www.ycombinator.com/companies/caremessage,,,
Ambition,Winter 2014,"Chattanooga, TN, USA",Coaching and gamification software for sales teams.,"B2B, SALES",https://www.ycombinator.com/companies/ambition,,,
"AirHelpLisbon, Lisbon, Portugal",Winter 2014,,"AirHelp helps air passengers get compensation for delayed, cancelled…","CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/airhelp,,,
"42San Francisco, CA, USA",Winter 2014,,Analytics stack for omnichannel retailers and brands,"B2B, RETAIL",https://www.ycombinator.com/companies/42,,,
True Link,Summer 2013,"New York City, NY, USA",Financial Services for Financial Caregivers.,FINTECH,https://www.ycombinator.com/companies/true-link,,,
Reebee,Summer 2013,"Kitchener, ON, Canada",HOME AND PERSONAL,"Flyer app., , CONSUMER",https://www.ycombinator.com/companies/reebee,,,
Lob,Summer 2013,"New York City, NY, USA",Lob is the only automation platform that transforms direct mail into…,"B2B, MARKETING",https://www.ycombinator.com/companies/lob,,,
Panorama Education,Summer 2013,"Los Angeles, CA, USA",Improving education for every student.,EDUCATION,https://www.ycombinator.com/companies/panorama-education,,,
Cratejoy,Summer 2013,"Austin, TX, USA",Cratejoy is the platform for subscriptions,"B2B, RETAIL",https://www.ycombinator.com/companies/cratejoy,,,
"Estimote, Inc.Kraków, Lesser Poland Voivodeship, Poland",Summer 2013,,Location intelligence platform,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/estimote-inc,,,
EasyPost,Summer 2013,"San Francisco, CA, USA",The shipping infrastructure of the internet.,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/easypost,,,
Asseta,Summer 2013,"Newport Beach, CA, USA",Marketplace for industrial spare parts and capital equipment.,B2B,https://www.ycombinator.com/companies/asseta,,,
Per Vices,Winter 2012,"Toronto, ON, Canada",Building Mission Critical Software Defined Radio products.,INDUSTRIALS,https://www.ycombinator.com/companies/per-vices,,,
7cups,Summer 2013,"Virginia Beach, VA, USA",7 Cups is an emotional support service that matches up people that…,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/7cups,,,
Watsi,Winter 2013,"San Francisco, CA, USA",Watsi is the first global crowdfunding platform for medical…,HEALTHCARE,https://www.ycombinator.com/companies/watsi,,,
Goldbelly,Winter 2013,"New York City, NY, USA",Empowering restaurants and small food makers to ship nationwide.,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/goldbelly,,,
Wevorce,Winter 2013,"Seattle, WA, USA",Changing divorce for good by making it a way less horrible experience…,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/wevorce,,,
Wefunder,Winter 2013,"San Francisco, CA, USA",We're Robinhood for pre-IPO startups. Everyone can invest $100.,"FINTECH, ASSET MANAGEMENT",https://www.ycombinator.com/companies/wefunder,,,
SimplyInsured,Winter 2013,"San Francisco, CA, USA",We sell health insurance to small businesses 100% online.,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/simplyinsured,,,
"CircuitHubLondon, England, United Kingdom",Winter 2012,,On-Demand Electronics Manufacturing,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/circuithub,,,
Experiment,Winter 2013,"Honolulu, HI, USA",crowdfunding platform for science,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/experiment,,,
"RADARNew York City, NY, USA",Winter 2013,,RADAR is building technology to completely transform the in-store…,"B2B, RETAIL",https://www.ycombinator.com/companies/radar,,,
Lollipuff,Winter 2013,"San Francisco, CA, USA",Online Auctions for Authentic (Women's) Designer Goods,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/lollipuff,,,
"StrikinglyShanghai, Shanghai, China",Winter 2013,,"The easiest way to create a beautiful, mobile optimized website.","B2B, MARKETING",https://www.ycombinator.com/companies/strikingly,,,
InfluxData,Winter 2013,"New York City, NY, USA",The platform for building and operating time series applications.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/influxdata,,,
Etleap,Winter 2013,"San Francisco, CA, USA",Etleap is an ETL solution for creating perfect data pipelines.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/etleap,,,
Cheetah,Winter 2013,"San Francisco, CA, USA","Fastest, easiest, and most affordable way for small business owners…","B2B, RETAIL",https://www.ycombinator.com/companies/cheetah,,,
Lawdingo,Winter 2013,"New York City, NY, USA",Lawdingo provides virtual paralegal services to law firms.,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/lawdingo,,,
Padlet,Winter 2013,"San Francisco, CA, USA",Papyrus → Parchment → Paper → Padlet,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/padlet,,,
BuildZoom,Winter 2013,"San Francisco, CA, USA",BuildZoom is a better way to remodel. We connect homeowners to the…,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/buildzoom,,,
CircuitLab,Winter 2013,"San Francisco, CA, USA",Online circuit simulator and electronic schematic editor.,B2B,https://www.ycombinator.com/companies/circuitlab,,,
StyleUp,Winter 2013,"San Francisco, CA, USA","StyleUp brings effortless joy to getting dressed with daily,…","CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/styleup,,,
"9gagHong Kong, Hong Kong",Summer 2012,,Make the world happier.,"CONSUMER, SOCIAL",https://www.ycombinator.com/companies/9gag,,,
Svbtle,Summer 2012,"San Francisco, CA, USA",A publishing platform.,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/svbtle,,,
Plivo,Summer 2012,"Austin, TX, USA","Voice AI Agents for customer engagement, including WhatsApp, SMS &…",B2B,https://www.ycombinator.com/companies/plivo,,,
Double Robotics,Summer 2012,"San Francisco, CA, USA",Telepresence robots,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/double-robotics,,,
Vastrm,Summer 2012,"San Francisco, CA, USA",Mass customized active apparel. We are building a full turn key…,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/vastrm,,,
Flightfox,Summer 2012,"Boulder, CO, USA","A platform to plan, book and manage global and group travel.","B2B, OPERATIONS",https://www.ycombinator.com/companies/flightfox,,,
BackerKit,Summer 2012,"San Francisco, CA, USA",The only end-to-end crowdfunding platform built for today’s creators,"B2B, SALES",https://www.ycombinator.com/companies/backerkit,,,
Submittable,Summer 2012,"Missoula, MT, USA","The best way to launch, manage and measure social impact programs",B2B,https://www.ycombinator.com/companies/submittable,,,
NewsBlur,Summer 2012,"San Francisco, CA, USA",NewsBlur is a personalized news reader,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/newsblur,,,
OctaveWealth,Summer 2012,"San Francisco, CA, USA",The 401(k) that helps you grow,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/octavewealth,,,
Upwave,Summer 2012,"San Francisco, CA, USA",Marketing analytics for the world's biggest brand marketers,"B2B, OPERATIONS",https://www.ycombinator.com/companies/upwave,,,
Eligible,Summer 2012,"New York City, NY, USA",Insurance Billing APIs for Healthcare Businesses,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/eligible,,,
FundersClub,Summer 2012,"San Francisco, CA, USA",ASSET MANAGEMENT,"Online VC, , FINTECH",https://www.ycombinator.com/companies/fundersclub,,,
Zentail,Summer 2012,"Columbia, MD, USA",We're making ecommerce simple connecting brands with sales channels,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/zentail,,,
Mattermost,Summer 2012,"San Francisco, CA, USA",Secure Collaboration for Technical Teams,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/mattermost,,,
HealthSherpa,Summer 2012,"Sacramento, CA, USA",Private sector Healthcare.gov.,"HEALTHCARE, HEALTHCARE SERVICES",https://www.ycombinator.com/companies/healthsherpa,,,
Human Dx,Summer 2012,"San Francisco, CA, USA",The Human Diagnosis Project.,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/human-dx,,,
Mth Sense,Summer 2012,"San Francisco, CA, USA",We're a mobile on-device profiling and ad-serving platform initially…,"B2B, MARKETING",https://www.ycombinator.com/companies/mth-sense,,,
Rainforest,Summer 2012,"San Francisco, CA, USA",no-code end-to-end testing that integrates with any CI/CD pipeline,B2B,https://www.ycombinator.com/companies/rainforest,,,
Screenleap,Winter 2012,"San Francisco, CA, USA",One-click screen sharing with installation-free viewing on all devices,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/screenleap-inc,,,
Buxfer,Winter 2007,"San Francisco, CA, USA",Buxfer helps you make better spending decisions by making it easy to…,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/buxfer,,,
Virtualmin,Winter 2007,"San Francisco, CA, USA",,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/virtualmin,,,
Conifer,Summer 2026,"San Francisco, CA, USA",Local-first least cost routing system to reduce 80%+ token spend,B2B,https://www.ycombinator.com/companies/conifer,,,
Simantic,Fall 2026,"Waterloo, ON, Canada",Firmware simulation for AI agents,B2B,https://www.ycombinator.com/companies/simantic,,,
Experiential Labs,Summer 2026,"San Francisco, CA, USA",Continual Learning for Agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/experiential-labs,,,
Edviro,Summer 2026,"San Francisco, CA, USA",Energy world models that fix energy waste before it becomes expensive.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/edviro,,,
Coasty,Summer 2026,"San Francisco, CA, USA",The computer-use agent that doesn't break on real software. We will…,B2B,https://www.ycombinator.com/companies/coasty,,,
Atomarine,Summer 2026,"Boston, MA, USA",Off shore nuclear powered data centers at sea.,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/atomarine,,,
Billow AI Labs,Summer 2026,"San Francisco, CA, USA",AI-native Accounting Firm to Replace the Big-4,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/billow-ai-labs,,,
hardware intelligence,Summer 2026,"San Francisco, CA, USA",Agentic chip design with ultrafast feedback loops,B2B,https://www.ycombinator.com/companies/hardware-intelligence,,,
Osseus,Summer 2026,,The secure research brain for accelerating R&D,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/osseus,,,
Salem Robotics Inc,Summer 2026,"Austin, TX, USA","We deploy robots for inspections in hazardous spaces, like nuclear.","INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/salem-robotics-inc,,,
Robocurve,Summer 2026,"San Francisco, CA, USA",Evaluating robots in the real world.,"INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/robocurve,,,
Nex,Summer 2026,"San Francisco, CA, USA",Claude Cowork for GTM Automations,"B2B, SALES",https://www.ycombinator.com/companies/nex,,,
One,Summer 2026,"CLISan Francisco, CA, USA",The Identity Gateway for AI Agents,"B2B, SECURITY",https://www.ycombinator.com/companies/onecli,,,
Wondering,Summer 2026,"San Francisco, CA, USA",Duolingo for Learning Anything,CONSUMER,https://www.ycombinator.com/companies/wondering,,,
Amulet,Summer 2026,"San Francisco, CA, USA",High performance file system for agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/amulet,,,
Avoca Systems,Summer 2026,"San Francisco, CA, USA",The AI-powered operating system for radiology networks,HEALTHCARE,https://www.ycombinator.com/companies/avoca-systems,,,
SubVysion,Summer 2026,"San Francisco, CA, USA",We help contractors dig safer with 3D maps of underground…,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/subvysion,,,
Petrarch,Summer 2026,"San Francisco, CA, USA",Unlocking enterprise data for tomorrow's economy,B2B,https://www.ycombinator.com/companies/petrarch,,,
Locke,Summer 2026,"San Francisco, CA, USA",Builders of the first AI-native government affairs firm.,B2B,https://www.ycombinator.com/companies/locke,,,
Florin,Summer 2026,"San Francisco, CA, USA",The financial operating system for the companies building the future.,FINTECH,https://www.ycombinator.com/companies/florin,,,
Earendil Robotics,Summer 2026,"San Francisco, CA, USA",Drone swarm defence at a small-unit level,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/earendil-robotics,,,
Hop Aero,Summer 2026,"Los Angeles, CA, USA",Rocket cargo delivery to contested environments,"INDUSTRIALS, DEFENSE",https://www.ycombinator.com/companies/hop-aero,,,
OpenRelay,Summer 2026,"Seattle, WA, USA","Distributed, hardware-agnostic AI inference",B2B,https://www.ycombinator.com/companies/openrelay,,,
HyperProbe,Summer 2026,"San Francisco, CA, USA",Your coding agent writes code. Now let it fix prod too.,B2B,https://www.ycombinator.com/companies/hyperprobe,,,
Skymerse,Summer 2026,"San Francisco, CA, USA",Autopilot for Flight Operations,"INDUSTRIALS, AVIATION AND SPACE",https://www.ycombinator.com/companies/skymerse,,,
Palisade,Summer 2026,"Los Angeles, CA, USA",AI that finds and fixes OS-level vulnerabilities across device fleets,"B2B, SECURITY",https://www.ycombinator.com/companies/palisade-2,,,
83 Sciences,Summer 2026,"San Francisco, CA, USA",AI-native materials discovery powered by unpublished experimental data,INDUSTRIALS,https://www.ycombinator.com/companies/83-sciences,,,
Mireye,Summer 2026,"San Francisco, CA, USA",Infrastructure for Physical World AI Agents,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/mireye,,,
Derya,Summer 2026,"San Francisco, CA, USA",AI-Native Logistics Office,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/derya,,,
Axelrod,Summer 2026,"San Francisco, CA, USA",Boutique Hotels that run themselves,B2B,https://www.ycombinator.com/companies/axelrod,,,
"Levocred AISan Francisco, CA, USA",Summer 2026,,AI for every workflow inside a credit team,FINTECH,https://www.ycombinator.com/companies/levocred-ai,,,
"Praxis AISan Francisco, CA, USA",Summer 2026,,Turns every company into a data vendor,INDUSTRIALS,https://www.ycombinator.com/companies/praxis-ai-2,,,
"Care GPSydney, NSW, Australia",Summer 2026,,AI agents to run primary healthcare operations,HEALTHCARE,https://www.ycombinator.com/companies/care-gp,,,
"Agnost AISan Francisco, CA, USA",Summer 2026,,Product analytics for teams building conversational agents,"B2B, ANALYTICS",https://www.ycombinator.com/companies/agnost-ai,,,
Agentcard,Summer 2026,"San Francisco, CA, USA",debit cards for AI agents.,FINTECH,https://www.ycombinator.com/companies/agentcard,,,
ProvenMetal,Summer 2026,"San Francisco, CA, USA","Fast-turn, American made PCBs","INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/provenmetal,,,
Gamgee,Summer 2026,"San Francisco, CA, USA",Scalable Personalised Cancer Treatment,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/gamgee,,,
Inkbox,Summer 2026,"San Francisco, CA, USA","Give your AI agents email, phone, iMessage and an internet address","B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/inkbox,,,
Operon,Summer 2026,"San Francisco, CA, USA",Agentic data layer for manufacturing & process industries.,INDUSTRIALS,https://www.ycombinator.com/companies/operon,,,
Cosmic Robotics,Summer 2026,"San Francisco, CA, USA",Autonomous construction on Earth and beyond,INDUSTRIALS,https://www.ycombinator.com/companies/cosmic-robotics,,,
Markov,Summer 2026,"San Francisco, CA, USA",Data for computer-use ai,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/markov,,,
Lumeria,Summer 2026,"San Francisco, CA, USA",Oura Ring for Skin.,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/lumeria,,,
Ronan,Summer 2026,"Rx Inc.San Francisco, CA, USA",We use AI to personalize peptides to your biology,HEALTHCARE,https://www.ycombinator.com/companies/ronanrx-inc,,,
