Startup_ID,Startup_Name,Industry,City,State,Funding_Year,Funding_Stage,Lead_Investor,Funding_Amount_USD,Employees,Status
275,Startup_275,FinTech,Ahmedabad,Gujarat,2023,Series C,Sequoia Capital,43100000,339,Active
276,Startup_276,Logistics,Noida,Uttar Pradesh,2025,Series A,Blume Ventures,23000000,115,Active
277,Startup_277,Cybersecurity,Jaipur,Rajasthan,2026,Series B,Nexus Venture Partners,26000000,437,Active
278,Startup_278,Logistics,Ahmedabad,Gujarat,2019,Series A,Nexus Venture Partners,35400000,318,Active
279,Startup_279,EdTech,Delhi,Delhi,2025,Series B,Tiger Global,1200000,166,Active
280,Startup_280,Cybersecurity,Pune,Maharashtra,2026,Series A,Nexus Venture Partners,15400000,327,Active
281,Startup_281,AgriTech,Ahmedabad,Gujarat,2019,Series B,Sequoia Capital,3700000,184,Active
282,Startup_282,SaaS,Pune,Maharashtra,2019,Series C,Peak XV,6800000,433,Active
283,Startup_283,FinTech,Pune,Maharashtra,2025,Series A,Blume Ventures,15800000,234,Active
284,Startup_284,FinTech,Chennai,Tamil Nadu,2022,Series A,Accel,37500000,149,Active
285,Startup_285,SaaS,Delhi,Delhi,2021,Series B,Sequoia Capital,10100000,347,Active
286,Startup_286,E-commerce,Kolkata,West Bengal,2018,Series A,Accel,25200000,383,Active
287,Startup_287,AgriTech,Bengaluru,Karnataka,2019,Seed,Peak XV,45200000,100,Active
288,Startup_288,EdTech,Mumbai,Maharashtra,2021,Series B,Sequoia Capital,5300000,203,Active
289,Startup_289,AI,Chennai,Tamil Nadu,2022,Pre-Series A,Sequoia Capital,30700000,386,Active
290,Startup_290,Cybersecurity,Delhi,Delhi,2024,Pre-Series A,Kalaari Capital,1200000,278,Active
291,Startup_291,EdTech,Chennai,Tamil Nadu,2018,Seed,Nexus Venture Partners,4100000,23,Active
292,Startup_292,Cybersecurity,Chennai,Tamil Nadu,2026,Seed,Peak XV,42100000,85,Active
293,Startup_293,FinTech,Hyderabad,Telangana,2025,Pre-Series A,Blume Ventures,20500000,333,Active
294,Startup_294,EdTech,Chennai,Tamil Nadu,2021,Series A,Peak XV,36500000,155,Active
295,Startup_295,FinTech,Delhi,Delhi,2024,Series C,Nexus Venture Partners,6100000,158,Active
296,Startup_296,SaaS,Jaipur,Rajasthan,2024,Series B,Tiger Global,47800000,41,Active
297,Startup_297,Cybersecurity,Bengaluru,Karnataka,2024,Series A,Accel,34000000,390,Active
298,Startup_298,FinTech,Kolkata,West Bengal,2022,Pre-Series A,Matrix Partners,31800000,200,Active
299,Startup_299,FinTech,Kolkata,West Bengal,2022,Series B,Sequoia Capital,10500000,185,Active
300,Startup_300,AI,Kolkata,West Bengal,2022,Series A,Matrix Partners,13200000,313,Active
