startup_name,industry,country,funding_amount_usd,funding_stage,source_dataset
Santana Ltd,AI,Netherlands,398617345.0,IPO,startup_funding_dataset
Davies-Garcia,Finance,USA,333261604.0,IPO,startup_funding_dataset
Henderson-Williams,Tech,UK,9126973.0,Series A,startup_funding_dataset
Young-Torres,E-commerce,UK,152353386.0,Series C,startup_funding_dataset
Smith-Larson,AI,Germany,2375159.0,Series A,startup_funding_dataset
Stark-Miller,Education,France,175020607.0,Series C,startup_funding_dataset
Torres Inc,Education,UK,350222258.0,IPO,startup_funding_dataset
Solis-Hernandez,AI,Germany,272597.0,Seed,startup_funding_dataset
Bradshaw and Sons,Education,Germany,444546.0,Seed,startup_funding_dataset
"Velazquez, Shaw and Leon",Education,Canada,482504.0,Seed,startup_funding_dataset
"Evans, Tate and Harris",Health,Australia,37403527.0,Series B,startup_funding_dataset
Huff LLC,AI,India,471292301.0,IPO,startup_funding_dataset
"Leonard, Reynolds and Barnes",Health,Australia,23768947.0,Series B,startup_funding_dataset
"Ford, Wood and Norton",Education,Netherlands,70117.0,Seed,startup_funding_dataset
Ward LLC,Tech,India,163968.0,Seed,startup_funding_dataset
"Robertson, Davis and Hurst",Gaming,Canada,26746231.0,Series B,startup_funding_dataset
Clark Group,Finance,Canada,819124269.0,IPO,startup_funding_dataset
"Henry, Bridges and Mendoza",SaaS,UK,4230981.0,Series A,startup_funding_dataset
Flowers Inc,AI,Australia,40484698.0,Series B,startup_funding_dataset
Williams Group,Tech,Australia,24643103.0,Series B,startup_funding_dataset
Rosales-Meyer,Education,Germany,645890519.0,IPO,startup_funding_dataset
"Mata, Sanchez and Cole",E-commerce,Australia,5262904.0,Series A,startup_funding_dataset
"Hughes, Hutchinson and Fischer",AI,USA,2338616.0,Series A,startup_funding_dataset
Adams-Roberts,Education,India,342292.0,Seed,startup_funding_dataset
"Marshall, Barton and Young",Education,USA,4562535.0,Series A,startup_funding_dataset
Kennedy PLC,Tech,Germany,191962737.0,Series C,startup_funding_dataset
Williams-Smith,Tech,UK,309122894.0,IPO,startup_funding_dataset
Spence-Marquez,Finance,Canada,748659015.0,IPO,startup_funding_dataset
Giles Inc,Education,India,21399089.0,Series B,startup_funding_dataset
Griffin-Nguyen,Finance,Canada,111717745.0,Series C,startup_funding_dataset
Dawson Inc,Finance,India,437298831.0,IPO,startup_funding_dataset
Guerra-Allen,Education,USA,373206102.0,IPO,startup_funding_dataset
Livingston-Villegas,Health,India,37399332.0,Series B,startup_funding_dataset
Robinson-Bush,AI,UK,114697873.0,Series C,startup_funding_dataset
Smith-Berry,SaaS,UK,93252458.0,Series C,startup_funding_dataset
"Burnett, Nelson and Maynard",E-commerce,UK,176348.0,Seed,startup_funding_dataset
"Martin, Day and Hayes",Education,Germany,761747794.0,IPO,startup_funding_dataset
Zuniga-Adams,Finance,India,956325842.0,IPO,startup_funding_dataset
"Bradley, Cortez and Smith",SaaS,Canada,895891600.0,IPO,startup_funding_dataset
Vargas-Turner,AI,UK,74018799.0,Series C,startup_funding_dataset
Johnson-Perry,Education,UK,24307433.0,Series B,startup_funding_dataset
"Brown, Floyd and James",E-commerce,France,125517999.0,Series C,startup_funding_dataset
Kim LLC,Tech,India,197327952.0,Series C,startup_funding_dataset
"Ellison, Gomez and Romero",Gaming,Canada,141555.0,Seed,startup_funding_dataset
"Lucas, Duncan and Lewis",Education,UK,34514107.0,Series B,startup_funding_dataset
Oconnor-Stevens,Tech,UK,490532539.0,IPO,startup_funding_dataset
Marsh-Mason,SaaS,USA,29195835.0,Series B,startup_funding_dataset
Hernandez Ltd,Finance,USA,57778623.0,Series C,startup_funding_dataset
"Wagner, Neal and Miller",Gaming,India,30374887.0,Series B,startup_funding_dataset
Rice Inc,Finance,Canada,4775336.0,Series A,startup_funding_dataset
"Meyer, Nunez and Sloan",AI,UK,339070819.0,IPO,startup_funding_dataset
Roy-Woods,AI,Germany,25349107.0,Series B,startup_funding_dataset
"Sanchez, Powers and James",Tech,Australia,189454957.0,Series C,startup_funding_dataset
"Taylor, Bates and Myers",Education,USA,999966985.0,IPO,startup_funding_dataset
"Perry, Scott and Malone",SaaS,Australia,63906464.0,Series C,startup_funding_dataset
"Medina, Walton and Carpenter",Gaming,France,43068061.0,Series B,startup_funding_dataset
Ford-Ayala,Gaming,Australia,130356204.0,Series C,startup_funding_dataset
Lewis Group,Finance,France,318360402.0,IPO,startup_funding_dataset
Briggs and Sons,AI,USA,364568955.0,IPO,startup_funding_dataset
Gonzalez-Watts,AI,Germany,395547886.0,IPO,startup_funding_dataset
Young-Gardner,Health,India,539399411.0,IPO,startup_funding_dataset
Gill-Melendez,E-commerce,USA,71155517.0,Series C,startup_funding_dataset
Brown LLC,Tech,France,44467138.0,Series B,startup_funding_dataset
Alvarez Group,E-commerce,USA,8673568.0,Series A,startup_funding_dataset
Griffin-Hanson,SaaS,India,167992.0,Seed,startup_funding_dataset
Ellis and Sons,Tech,Germany,47834274.0,Series B,startup_funding_dataset
"Russo, Juarez and Bailey",AI,Germany,95755762.0,Series C,startup_funding_dataset
"Sparks, Williams and Boyer",Tech,Netherlands,861945949.0,IPO,startup_funding_dataset
"Schmitt, Smith and Huffman",Education,India,20657335.0,Series B,startup_funding_dataset
Smith-Gonzalez,Education,Canada,167939768.0,Series C,startup_funding_dataset
Johnson-Davis,Tech,USA,21037409.0,Series B,startup_funding_dataset
Brooks and Sons,AI,Germany,810016040.0,IPO,startup_funding_dataset
Ferrell-Hutchinson,Finance,UK,44560499.0,Series B,startup_funding_dataset
Guerra PLC,SaaS,USA,10131436.0,Series B,startup_funding_dataset
"Joyce, Rhodes and Gordon",SaaS,Australia,139631738.0,Series C,startup_funding_dataset
"Hansen, Best and Lopez",Finance,India,38894939.0,Series B,startup_funding_dataset
"Mcintyre, Bell and Young",Health,India,8488633.0,Series A,startup_funding_dataset
"Alexander, Wilson and Fowler",SaaS,Netherlands,130598477.0,Series C,startup_funding_dataset
"Hudson, Carroll and Perkins",Gaming,UK,643165862.0,IPO,startup_funding_dataset
Oconnor-Mccarthy,Gaming,Canada,3715414.0,Series A,startup_funding_dataset
Andrews LLC,SaaS,Australia,100327.0,Seed,startup_funding_dataset
Martinez-Barber,Education,USA,9596132.0,Series A,startup_funding_dataset
Martin-Chang,SaaS,Netherlands,177290303.0,Series C,startup_funding_dataset
Wilson PLC,E-commerce,USA,359478.0,Seed,startup_funding_dataset
"Jones, Owens and Phillips",Health,UK,189945129.0,Series C,startup_funding_dataset
Pena-Taylor,SaaS,UK,460237956.0,IPO,startup_funding_dataset
"Brewer, Evans and Mercado",Education,Germany,47135599.0,Series B,startup_funding_dataset
"Gomez, Sanders and Green",Tech,France,8403625.0,Series A,startup_funding_dataset
Hansen-Davis,Health,UK,10138915.0,Series B,startup_funding_dataset
Vega LLC,Education,Australia,418393.0,Seed,startup_funding_dataset
Phillips-Wright,Gaming,France,31638188.0,Series B,startup_funding_dataset
Sanders-Cook,SaaS,USA,401092.0,Seed,startup_funding_dataset
King-Lowe,Gaming,Australia,14562043.0,Series B,startup_funding_dataset
"Morris, Baker and Lee",Finance,USA,2430068.0,Series A,startup_funding_dataset
"Wolfe, Harris and Davis",E-commerce,USA,941059640.0,IPO,startup_funding_dataset
Cameron PLC,Health,Australia,261018853.0,IPO,startup_funding_dataset
"King, Smith and Butler",Tech,France,130218114.0,Series C,startup_funding_dataset
Hayden LLC,Health,Netherlands,177797148.0,Series C,startup_funding_dataset
Rodriguez-Garner,SaaS,India,231033589.0,IPO,startup_funding_dataset
"Riley, Smith and Moss",AI,USA,62291677.0,Series C,startup_funding_dataset
Higgins Ltd,Gaming,Germany,50295499.0,Series C,startup_funding_dataset
Tran-Marsh,Education,France,45043155.0,Series B,startup_funding_dataset
Gomez Group,Education,UK,772909919.0,IPO,startup_funding_dataset
Reed Group,Health,Canada,31059686.0,Series B,startup_funding_dataset
Black and Sons,Tech,France,13285922.0,Series B,startup_funding_dataset
Meza Ltd,AI,Netherlands,466859.0,Seed,startup_funding_dataset
"Howell, Johnson and Ramirez",Finance,Netherlands,16123415.0,Series B,startup_funding_dataset
Clark-Torres,Gaming,Canada,189313.0,Seed,startup_funding_dataset
"Rangel, Davis and Warner",AI,France,603570461.0,IPO,startup_funding_dataset
"Dean, Hudson and Johnson",E-commerce,UK,3699003.0,Series A,startup_funding_dataset
"Short, Stewart and Johnson",Finance,France,836993155.0,IPO,startup_funding_dataset
"Phillips, Bruce and Perez",Finance,USA,68517537.0,Series C,startup_funding_dataset
"Robinson, Andrade and Mueller",Finance,Germany,158340206.0,Series C,startup_funding_dataset
Freeman-Fleming,Gaming,Australia,637218548.0,IPO,startup_funding_dataset
Frye LLC,E-commerce,Germany,2388795.0,Series A,startup_funding_dataset
Benson-Roberts,Education,India,330956.0,Seed,startup_funding_dataset
"Gilbert, Cobb and Osborne",SaaS,Netherlands,22023875.0,Series B,startup_funding_dataset
Palmer-Wagner,Finance,Canada,649226296.0,IPO,startup_funding_dataset
"Murphy, Guerra and Mcmahon",Gaming,USA,168957510.0,Series C,startup_funding_dataset
"Burns, Johnson and Schmidt",SaaS,USA,702746258.0,IPO,startup_funding_dataset
Ford-Willis,AI,UK,2727783.0,Series A,startup_funding_dataset
Henson-Smith,E-commerce,Netherlands,1840516.0,Series A,startup_funding_dataset
Dunn Group,AI,Germany,128976.0,Seed,startup_funding_dataset
Guzman and Sons,Gaming,Netherlands,1267816.0,Series A,startup_funding_dataset
"Kirk, Ortega and Campbell",AI,Netherlands,63841.0,Seed,startup_funding_dataset
Bennett-Burgess,Education,France,55613463.0,Series C,startup_funding_dataset
Singleton-Adams,Tech,UK,12128814.0,Series B,startup_funding_dataset
Savage-Green,Gaming,France,956844629.0,IPO,startup_funding_dataset
"Dunn, Gutierrez and Mathis",Gaming,Germany,196920.0,Seed,startup_funding_dataset
Watson PLC,Education,Canada,185888.0,Seed,startup_funding_dataset
"Collins, Peterson and Christensen",Finance,USA,7775966.0,Series A,startup_funding_dataset
Harris Group,Finance,Germany,479452112.0,IPO,startup_funding_dataset
Pearson-Stewart,E-commerce,UK,9497369.0,Series A,startup_funding_dataset
Brooks-Hanna,AI,UK,39705507.0,Series B,startup_funding_dataset
Booth-Wallace,E-commerce,Canada,858684411.0,IPO,startup_funding_dataset
Ross-Campbell,SaaS,UK,3832749.0,Series A,startup_funding_dataset
Brown Inc,Health,Australia,156848.0,Seed,startup_funding_dataset
Hamilton Group,SaaS,USA,6424306.0,Series A,startup_funding_dataset
Rasmussen PLC,Finance,India,262971330.0,IPO,startup_funding_dataset
Shepard and Sons,E-commerce,Australia,6308208.0,Series A,startup_funding_dataset
Vaughan-Brooks,AI,Netherlands,8806817.0,Series A,startup_funding_dataset
Wilkins and Sons,Gaming,Netherlands,244628922.0,IPO,startup_funding_dataset
"Wright, Ramirez and Gay",SaaS,Netherlands,94561330.0,Series C,startup_funding_dataset
"Sanders, Morse and Morgan",Health,Canada,195603207.0,Series C,startup_funding_dataset
Olson-Smith,Education,Australia,419458.0,Seed,startup_funding_dataset
Perkins-Smith,Education,Canada,2724096.0,Series A,startup_funding_dataset
Scott-Taylor,Gaming,Netherlands,22280925.0,Series B,startup_funding_dataset
"Chavez, Blair and Sanders",Tech,Australia,154209563.0,Series C,startup_funding_dataset
Hall-Shepard,SaaS,UK,147770.0,Seed,startup_funding_dataset
Orr-Jensen,Finance,Australia,6174658.0,Series A,startup_funding_dataset
Jones-Smith,SaaS,India,6992269.0,Series A,startup_funding_dataset
"Watson, Simmons and Carlson",SaaS,France,5623715.0,Series A,startup_funding_dataset
Dominguez Inc,E-commerce,France,4211197.0,Series A,startup_funding_dataset
Le-Hutchinson,Finance,UK,88187336.0,Series C,startup_funding_dataset
Espinoza Inc,E-commerce,France,203693.0,Seed,startup_funding_dataset
Simon-Davis,E-commerce,India,32975204.0,Series B,startup_funding_dataset
Martinez PLC,SaaS,India,347565.0,Seed,startup_funding_dataset
Wang Ltd,Finance,Canada,26679516.0,Series B,startup_funding_dataset
Gomez-Guerrero,Tech,UK,45267957.0,Series B,startup_funding_dataset
Jordan-Middleton,E-commerce,France,12783700.0,Series B,startup_funding_dataset
"Rivers, Butler and Gonzalez",Education,India,8781005.0,Series A,startup_funding_dataset
Kim-Rivera,SaaS,Australia,6974894.0,Series A,startup_funding_dataset
"Bryan, Mclaughlin and Morgan",Tech,USA,123092.0,Seed,startup_funding_dataset
Orozco LLC,E-commerce,USA,38277476.0,Series B,startup_funding_dataset
Cisneros-Austin,AI,Australia,123461563.0,Series C,startup_funding_dataset
Neal-Estes,AI,USA,1902522.0,Series A,startup_funding_dataset
Casey-Taylor,Gaming,Australia,37307404.0,Series B,startup_funding_dataset
Williams-Mccann,Gaming,Netherlands,283484.0,Seed,startup_funding_dataset
Lopez-Jackson,Gaming,USA,70319908.0,Series C,startup_funding_dataset
Harris-Delacruz,Gaming,Germany,62431724.0,Series C,startup_funding_dataset
"Merritt, Davidson and Garcia",Finance,France,143283409.0,Series C,startup_funding_dataset
Estrada Ltd,Tech,Australia,3484443.0,Series A,startup_funding_dataset
Valencia Group,Education,Netherlands,18778817.0,Series B,startup_funding_dataset
Tyler-Bennett,Tech,UK,5119766.0,Series A,startup_funding_dataset
Dixon PLC,AI,Germany,151848008.0,Series C,startup_funding_dataset
Jackson-Roberts,SaaS,USA,9953206.0,Series A,startup_funding_dataset
Smith-Williams,Finance,Germany,9642237.0,Series A,startup_funding_dataset
Ross PLC,Health,UK,155112741.0,Series C,startup_funding_dataset
"Nguyen, Erickson and Stone",Gaming,UK,21329545.0,Series B,startup_funding_dataset
Mcbride PLC,Health,Canada,1790550.0,Series A,startup_funding_dataset
Blake-Olsen,Health,Netherlands,108194768.0,Series C,startup_funding_dataset
Riddle-West,Tech,Australia,70399398.0,Series C,startup_funding_dataset
Butler-Price,Tech,France,60320036.0,Series C,startup_funding_dataset
Mcintyre Inc,SaaS,Australia,9592917.0,Series A,startup_funding_dataset
Rodriguez Ltd,Education,France,30973989.0,Series B,startup_funding_dataset
"Wall, Poole and Martinez",E-commerce,India,47416183.0,Series B,startup_funding_dataset
Harvey-Cruz,Education,France,127119492.0,Series C,startup_funding_dataset
Reynolds-Hayes,Gaming,Netherlands,491798.0,Seed,startup_funding_dataset
"Duarte, House and Foster",Gaming,Australia,662206620.0,IPO,startup_funding_dataset
Wilson Group,Finance,France,986753685.0,IPO,startup_funding_dataset
Walter and Sons,Finance,Australia,60872663.0,Series C,startup_funding_dataset
Brown-Hamilton,Education,Australia,65434.0,Seed,startup_funding_dataset
"Hamilton, Martin and Garrison",Tech,Canada,16374337.0,Series B,startup_funding_dataset
Whitaker Inc,Health,India,80540776.0,Series C,startup_funding_dataset
"Santiago, Howell and Lewis",AI,France,176629840.0,Series C,startup_funding_dataset
Bell LLC,Finance,India,1213482.0,Series A,startup_funding_dataset
Smith-Michael,Tech,Germany,154802.0,Seed,startup_funding_dataset
"Osborne, Ortiz and Hutchinson",Gaming,France,5784593.0,Series A,startup_funding_dataset
Blair Inc,E-commerce,Australia,251453924.0,IPO,startup_funding_dataset
"Andrews, Mathews and Jones",E-commerce,Netherlands,171896.0,Seed,startup_funding_dataset
Phillips-Perez,Finance,USA,713613103.0,IPO,startup_funding_dataset
Cardenas-Hamilton,Education,France,161962803.0,Series C,startup_funding_dataset
Baldwin PLC,E-commerce,Australia,47435141.0,Series B,startup_funding_dataset
King and Sons,Education,Australia,848802531.0,IPO,startup_funding_dataset
Stark PLC,Health,UK,190765722.0,Series C,startup_funding_dataset
Meyer Ltd,Tech,Netherlands,3706470.0,Series A,startup_funding_dataset
Stevens-Carlson,AI,Germany,136290134.0,Series C,startup_funding_dataset
Hill-Roberts,Gaming,Germany,25739608.0,Series B,startup_funding_dataset
Mccormick-Johnson,AI,France,320042.0,Seed,startup_funding_dataset
Cox Group,E-commerce,India,132771070.0,Series C,startup_funding_dataset
"Gonzalez, Young and Miles",AI,UK,381089316.0,IPO,startup_funding_dataset
Jones-Strong,SaaS,Netherlands,1123586.0,Series A,startup_funding_dataset
Barnes-Johnson,E-commerce,India,141496973.0,Series C,startup_funding_dataset
Day LLC,Finance,Netherlands,10838358.0,Series B,startup_funding_dataset
Green and Sons,Health,UK,99349010.0,Series C,startup_funding_dataset
Perez-Short,Education,Canada,25100233.0,Series B,startup_funding_dataset
Medina LLC,AI,Germany,565056977.0,IPO,startup_funding_dataset
Howard-Martin,E-commerce,India,4179977.0,Series A,startup_funding_dataset
Dyer-Wilson,AI,France,5316508.0,Series A,startup_funding_dataset
Hall-Ross,E-commerce,India,430438.0,Seed,startup_funding_dataset
Johnson-Wright,Gaming,Germany,77779747.0,Series C,startup_funding_dataset
Simpson-Patrick,Tech,Canada,6094240.0,Series A,startup_funding_dataset
Blackwell-Little,Tech,Australia,97078827.0,Series C,startup_funding_dataset
"Anderson, Roman and Turner",Gaming,Canada,48868976.0,Series B,startup_funding_dataset
Miller-Rivera,Gaming,Netherlands,349757306.0,IPO,startup_funding_dataset
Bell-Walker,AI,Canada,8414518.0,Series A,startup_funding_dataset
"Horne, Fox and Harrison",E-commerce,Germany,7081348.0,Series A,startup_funding_dataset
Pope Ltd,SaaS,France,709606242.0,IPO,startup_funding_dataset
"Ortiz, Lee and Gibson",Finance,Netherlands,605903290.0,IPO,startup_funding_dataset
"Martinez, Randall and Mckenzie",Education,Germany,429016.0,Seed,startup_funding_dataset
Murphy-Lewis,Gaming,UK,261937503.0,IPO,startup_funding_dataset
Harper-Townsend,E-commerce,France,2240075.0,Series A,startup_funding_dataset
"Davis, Hawkins and Garcia",Tech,Netherlands,413687725.0,IPO,startup_funding_dataset
Hayes LLC,Gaming,Australia,39887792.0,Series B,startup_funding_dataset
Hernandez-Hodges,Education,France,205140921.0,IPO,startup_funding_dataset
"Hoover, Clark and Jimenez",E-commerce,Canada,25414357.0,Series B,startup_funding_dataset
Cox-Hernandez,Education,USA,38185725.0,Series B,startup_funding_dataset
Warren-Snyder,Finance,UK,832906544.0,IPO,startup_funding_dataset
"Martin, Martinez and Jackson",Education,India,1507919.0,Series A,startup_funding_dataset
Miles and Sons,AI,India,224924230.0,IPO,startup_funding_dataset
Carter-Jones,E-commerce,Germany,87572.0,Seed,startup_funding_dataset
Mccarthy-Parker,Finance,USA,140391660.0,Series C,startup_funding_dataset
Garcia-Perry,AI,Germany,901050726.0,IPO,startup_funding_dataset
Smith Group,Tech,India,7232971.0,Series A,startup_funding_dataset
Pena Ltd,Gaming,UK,758938775.0,IPO,startup_funding_dataset
"Key, Mitchell and Becker",AI,Netherlands,14045852.0,Series B,startup_funding_dataset
Lin Inc,Education,UK,157556.0,Seed,startup_funding_dataset
"Reilly, Pham and Nelson",AI,Netherlands,6819208.0,Series A,startup_funding_dataset
Jackson-Smith,AI,Australia,229095899.0,IPO,startup_funding_dataset
Lopez Group,Finance,France,32346561.0,Series B,startup_funding_dataset
"Palmer, Sherman and Bass",Finance,UK,451831504.0,IPO,startup_funding_dataset
Bruce and Sons,Health,UK,8967797.0,Series A,startup_funding_dataset
Byrd PLC,SaaS,Germany,13970643.0,Series B,startup_funding_dataset
Mcdaniel-Wilson,Gaming,India,33741485.0,Series B,startup_funding_dataset
"Williams, Buck and Miller",Education,India,943849968.0,IPO,startup_funding_dataset
Johnson-Barnes,SaaS,France,2376733.0,Series A,startup_funding_dataset
Hart PLC,Finance,India,333047.0,Seed,startup_funding_dataset
Lee Ltd,Tech,France,481771034.0,IPO,startup_funding_dataset
"Bishop, Williams and Hale",E-commerce,India,429444.0,Seed,startup_funding_dataset
Lopez-Esparza,Gaming,UK,427798573.0,IPO,startup_funding_dataset
Hale-Curtis,Education,Canada,4170636.0,Series A,startup_funding_dataset
Tucker-Ellison,Tech,USA,152111783.0,Series C,startup_funding_dataset
Foley LLC,AI,Germany,339319038.0,IPO,startup_funding_dataset
Sims-Bentley,Gaming,France,3315674.0,Series A,startup_funding_dataset
Castro-Lewis,Tech,UK,341737.0,Seed,startup_funding_dataset
Moore LLC,Education,France,36750615.0,Series B,startup_funding_dataset
Harrington-Burch,Finance,Australia,6831151.0,Series A,startup_funding_dataset
"Murphy, Wilson and Fischer",Finance,Germany,1364067.0,Series A,startup_funding_dataset
Peterson-Duncan,Education,Canada,45124392.0,Series B,startup_funding_dataset
Sawyer and Sons,AI,Netherlands,3992929.0,Series A,startup_funding_dataset
York Group,AI,France,106822557.0,Series C,startup_funding_dataset
"Roberts, Beck and Hernandez",SaaS,India,33433866.0,Series B,startup_funding_dataset
Wood PLC,Education,Netherlands,160381897.0,Series C,startup_funding_dataset
Carlson-Rose,E-commerce,Canada,18254933.0,Series B,startup_funding_dataset
Meyer-Williams,Education,Netherlands,258280.0,Seed,startup_funding_dataset
"Flores, Grimes and Carlson",Education,Australia,118002316.0,Series C,startup_funding_dataset
Campbell Inc,Finance,USA,2734388.0,Series A,startup_funding_dataset
"Walker, Buckley and Bird",Finance,UK,6311865.0,Series A,startup_funding_dataset
Adams Inc,Health,UK,144893173.0,Series C,startup_funding_dataset
Williams-Gonzalez,E-commerce,France,336643.0,Seed,startup_funding_dataset
"Ortega, Mosley and Valdez",Gaming,Germany,2035813.0,Series A,startup_funding_dataset
Lopez-Benton,Tech,USA,340101.0,Seed,startup_funding_dataset
Bailey-Oliver,Education,Canada,394492785.0,IPO,startup_funding_dataset
Morales PLC,AI,UK,97798553.0,Series C,startup_funding_dataset
"Dawson, Hill and Cooper",Tech,Australia,175357141.0,Series C,startup_funding_dataset
Potts-Newman,E-commerce,Germany,189034.0,Seed,startup_funding_dataset
"Jarvis, Kim and Walker",Tech,Canada,13664370.0,Series B,startup_funding_dataset
"Myers, Cook and Miller",Tech,Australia,847287132.0,IPO,startup_funding_dataset
"Gonzalez, Ochoa and Sims",Health,India,2783232.0,Series A,startup_funding_dataset
"Berry, Coffey and West",SaaS,Germany,568855003.0,IPO,startup_funding_dataset
Johnson-Moore,Education,France,357530.0,Seed,startup_funding_dataset
"Martin, Odonnell and Wolf",Health,Netherlands,70226969.0,Series C,startup_funding_dataset
Santos-Weber,Health,India,218530529.0,IPO,startup_funding_dataset
Calderon Inc,Finance,Canada,41787065.0,Series B,startup_funding_dataset
Greene LLC,SaaS,USA,100242846.0,Series C,startup_funding_dataset
Powell Ltd,Education,Netherlands,4911983.0,Series A,startup_funding_dataset
"Levy, Gonzalez and Jackson",SaaS,Australia,237826.0,Seed,startup_funding_dataset
Bullock Ltd,Tech,Australia,154998747.0,Series C,startup_funding_dataset
Barker Group,Finance,Canada,102875596.0,Series C,startup_funding_dataset
Moreno-Bell,SaaS,India,49784901.0,Series B,startup_funding_dataset
Gonzalez-Robertson,SaaS,USA,430427.0,Seed,startup_funding_dataset
King Group,Tech,Netherlands,126757.0,Seed,startup_funding_dataset
Mckinney LLC,Education,France,3371464.0,Series A,startup_funding_dataset
Smith-Watson,SaaS,Germany,4312493.0,Series A,startup_funding_dataset
Werner Group,Education,France,134026.0,Seed,startup_funding_dataset
Brown-Evans,Health,Australia,195896859.0,Series C,startup_funding_dataset
Lawson Inc,E-commerce,UK,42006772.0,Series B,startup_funding_dataset
Hernandez-Hill,Education,Canada,107690942.0,Series C,startup_funding_dataset
Ramsey-Lloyd,Finance,USA,386531.0,Seed,startup_funding_dataset
Krause-Holmes,Gaming,Australia,354625.0,Seed,startup_funding_dataset
"Rodriguez, Johnson and Dixon",Health,UK,13740551.0,Series B,startup_funding_dataset
Johnson-Miller,Health,USA,4790238.0,Series A,startup_funding_dataset
"Collins, Wheeler and Marquez",Education,Canada,809610567.0,IPO,startup_funding_dataset
"Hoffman, White and Sanchez",Finance,Canada,465420.0,Seed,startup_funding_dataset
"Martinez, Vasquez and Campbell",Health,USA,18439218.0,Series B,startup_funding_dataset
"Warren, Collins and Li",Tech,Australia,46256447.0,Series B,startup_funding_dataset
Davis LLC,Gaming,India,131841184.0,Series C,startup_funding_dataset
Hicks-Shaffer,Health,Germany,488295200.0,IPO,startup_funding_dataset
"Nielsen, Medina and Moore",Education,France,161633571.0,Series C,startup_funding_dataset
"Dawson, Martinez and Schmitt",E-commerce,Canada,395282.0,Seed,startup_funding_dataset
Stuart PLC,E-commerce,Canada,96897710.0,Series C,startup_funding_dataset
"Foster, Ruiz and Phillips",Finance,Germany,142270.0,Seed,startup_funding_dataset
Velez-Winters,Health,France,9578776.0,Series A,startup_funding_dataset
Palmer Ltd,AI,Netherlands,205676.0,Seed,startup_funding_dataset
Conley Group,Finance,USA,4912457.0,Series A,startup_funding_dataset
"Terrell, Fisher and Hill",E-commerce,USA,466912.0,Seed,startup_funding_dataset
Trujillo PLC,Finance,Netherlands,7730334.0,Series A,startup_funding_dataset
"Wilson, Hickman and Hutchinson",Health,Canada,108969093.0,Series C,startup_funding_dataset
"Miller, Gonzales and Rogers",Health,Germany,395480.0,Seed,startup_funding_dataset
"Douglas, Burke and Rodriguez",Education,Canada,30308475.0,Series B,startup_funding_dataset
Anderson Ltd,Health,Netherlands,42191666.0,Series B,startup_funding_dataset
"Woods, Mills and Matthews",Gaming,UK,511458461.0,IPO,startup_funding_dataset
Meyer-Ward,AI,France,522846956.0,IPO,startup_funding_dataset
Ferguson Ltd,Tech,USA,1861927.0,Series A,startup_funding_dataset
Brown-Patton,Health,Netherlands,412824.0,Seed,startup_funding_dataset
Young-Drake,SaaS,Australia,49879890.0,Series B,startup_funding_dataset
Mcpherson-Wright,Tech,USA,118604719.0,Series C,startup_funding_dataset
Werner LLC,Tech,Netherlands,281943.0,Seed,startup_funding_dataset
Santos PLC,Finance,India,68314125.0,Series C,startup_funding_dataset
"Cameron, Hughes and Sanders",Gaming,Australia,420448.0,Seed,startup_funding_dataset
Rodriguez-Ortega,Gaming,Australia,69188.0,Seed,startup_funding_dataset
"Stein, Ortiz and Bradley",Tech,UK,139293215.0,Series C,startup_funding_dataset
"Rose, Leonard and Adkins",Tech,Netherlands,5029518.0,Series A,startup_funding_dataset
Colon-Roman,Education,UK,460436.0,Seed,startup_funding_dataset
Walker-Palmer,Gaming,Netherlands,165970538.0,Series C,startup_funding_dataset
Stanton-Casey,Finance,USA,435207.0,Seed,startup_funding_dataset
"Williams, Juarez and Sanders",SaaS,Germany,362069.0,Seed,startup_funding_dataset
Deleon-Russell,Gaming,USA,579954974.0,IPO,startup_funding_dataset
"Burton, Harper and Mcdaniel",SaaS,India,329798634.0,IPO,startup_funding_dataset
White-Jackson,Education,USA,94665370.0,Series C,startup_funding_dataset
Meyer-Edwards,SaaS,India,160612724.0,Series C,startup_funding_dataset
"Hernandez, Kemp and Price",SaaS,Netherlands,474907.0,Seed,startup_funding_dataset
Pearson-Hawkins,E-commerce,France,33549544.0,Series B,startup_funding_dataset
Mathews PLC,Finance,France,45802539.0,Series B,startup_funding_dataset
Morgan Group,AI,France,1446990.0,Series A,startup_funding_dataset
Garcia-Rivers,Health,India,49359490.0,Series B,startup_funding_dataset
"Martinez, Perry and Porter",Health,Canada,635048538.0,IPO,startup_funding_dataset
"Arias, Gray and Foster",Health,Germany,7009871.0,Series A,startup_funding_dataset
Stewart Group,Tech,Netherlands,196648298.0,Series C,startup_funding_dataset
"Brown, Crawford and Sandoval",Education,Canada,65915685.0,Series C,startup_funding_dataset
Frye-Cochran,Finance,Germany,136642332.0,Series C,startup_funding_dataset
Mcdonald-Becker,Education,Netherlands,36233113.0,Series B,startup_funding_dataset
Fleming Group,Gaming,USA,5836975.0,Series A,startup_funding_dataset
"Morales, Gomez and Clark",SaaS,France,36288359.0,Series B,startup_funding_dataset
Yu-Sexton,Gaming,Australia,12245152.0,Series B,startup_funding_dataset
"Lopez, Bennett and Beck",Gaming,Germany,342546487.0,IPO,startup_funding_dataset
Gibson-Johnson,Finance,USA,59845800.0,Series C,startup_funding_dataset
