round_id,startup_id,startup_name,funding_date,year,quarter,funding_stage,amount_million_usd,pre_money_valuation_million_usd,post_money_valuation_million_usd,equity_dilution_pct,lead_investor,investor_type,num_investors,sector,country,region,city,investor_id
R00399,S00249,FluxLink,2025-06-27,2025,Q2,Pre-Seed,0.27,2.23,2.5,11.8,B Capital Group,Venture Capital,8,Space Tech,United States,North America,Miami,INV0048
R00400,S00250,RuneLink,2025-12-19,2025,Q4,Seed,6.82,36.29,43.11,23.3,SBI Investment,Angel Investor,4,Web3 / Blockchain,India,Asia,Chennai,INV0065
R00401,S00251,QuarkLabs,2020-01-29,2020,Q1,Pre-Seed,0.53,4.52,5.05,12.7,Qualcomm Ventures,Angel Investor,3,Fintech,Australia,Oceania,Melbourne,INV0062
R00402,S00252,ZenoForge,2025-04-16,2025,Q2,Seed,2.66,17.94,20.6,20.5,Partech,Angel Investor,1,Food & AgriTech,Germany,Europe,Berlin,INV0046
R00403,S00252,ZenoForge,2021-03-27,2021,Q1,Series A,7.46,53.03,60.49,19.0,Union Square Ventures,Family Office,3,Food & AgriTech,Germany,Europe,Berlin,INV0039
R00404,S00252,ZenoForge,2023-08-20,2023,Q3,Series B,31.31,144.23,175.54,15.2,Blume Ventures,Corporate VC,1,Food & AgriTech,Germany,Europe,Berlin,INV0071
R00405,S00253,Nexusverse,2020-05-23,2020,Q2,Seed,5.37,38.45,43.82,20.4,Alibaba Group,Private Equity,2,Artificial Intelligence,Singapore,Asia,Singapore,INV0054
R00406,S00254,PulseNet,2020-10-21,2020,Q4,Seed,1.38,10.61,11.99,13.3,Seedcamp,Angel Investor,2,Social Media / Creator Economy,United Kingdom,Europe,Edinburgh,INV0028
R00407,S00255,BoltSecurity,2026-02-28,2026,Q1,Pre-Seed,0.32,3.14,3.46,14.2,Accel India,Family Office,1,Fintech,United States,North America,San Francisco,INV0073
R00408,S00255,BoltSecurity,2020-05-24,2020,Q2,Series A,21.43,206.32,227.75,24.3,SoftBank Vision Fund,Family Office,1,Fintech,United States,North America,San Francisco,INV0005
R00409,S00256,ForgeFlow,2023-04-05,2023,Q2,Seed,1.27,4.36,5.63,21.7,Nexus Venture Partners,Venture Capital,3,Gaming & Entertainment,United States,North America,Los Angeles,INV0072
R00410,S00256,ForgeFlow,2021-05-30,2021,Q2,Series B,30.94,136.71,167.65,24.2,Mitsubishi UFJ Capital,Venture Capital,3,Gaming & Entertainment,United States,North America,Los Angeles,INV0064
R00411,S00257,CruxFinance,2022-10-19,2022,Q4,Seed,1.5,11.39,12.89,10.4,Intel Capital,Venture Capital,8,Fintech,Germany,Europe,Hamburg,INV0056
R00412,S00258,OrionX,2026-02-03,2026,Q1,Pre-Seed,0.39,2.23,2.62,5.5,B Capital Group,Corporate VC,2,Artificial Intelligence,Netherlands,Europe,Amsterdam,INV0048
R00413,S00259,CloudTech,2020-03-28,2020,Q1,Seed,3.13,19.65,22.78,23.6,GV (Google Ventures),Private Equity,5,Cybersecurity,India,Asia,Mumbai,INV0011
R00414,S00259,CloudTech,2020-02-04,2020,Q1,Series B,34.29,150.49,184.78,28.8,Intel Capital,Family Office,3,Cybersecurity,India,Asia,Mumbai,INV0056
R00415,S00259,CloudTech,2025-07-31,2025,Q3,Series D,50.44,342.7,393.14,8.8,Abu Dhabi Investment Authority,Corporate VC,2,Cybersecurity,India,Asia,Mumbai,INV0051
R00416,S00260,JetTech,2024-12-15,2024,Q4,Seed,3.69,35.93,39.62,18.4,BlueYard Capital,Venture Capital,1,Fintech,China,Asia,Shenzhen,INV0029
R00417,S00261,Neoverse,2026-01-21,2026,Q1,Seed,1.5,8.01,9.51,16.3,Lightspeed Venture Partners,Accelerator,3,Healthcare & Biotech,India,Asia,Hyderabad,INV0006
R00418,S00261,Neoverse,2025-07-24,2025,Q3,Series A,20.62,157.95,178.57,20.9,Sequoia Capital,Venture Capital,4,Healthcare & Biotech,India,Asia,Hyderabad,INV0001
R00419,S00261,Neoverse,2020-10-21,2020,Q4,Series C,73.67,438.14,511.81,13.1,Benchmark,Venture Capital,3,Healthcare & Biotech,India,Asia,Hyderabad,INV0008
R00420,S00262,XenoWare,2024-08-05,2024,Q3,Seed,1.27,11.6,12.87,13.3,Google Ventures,Accelerator,1,Artificial Intelligence,India,Asia,Mumbai,INV0059
R00421,S00263,YieldSystems,2025-12-15,2025,Q4,Pre-Seed,0.63,2.56,3.19,8.1,Ribbit Capital,Venture Capital,3,Fintech,United States,North America,Chicago,INV0016
R00422,S00263,YieldSystems,2020-10-26,2020,Q4,Series A,9.81,92.75,102.56,20.7,Union Square Ventures,Venture Capital,5,Fintech,United States,North America,Chicago,INV0039
R00423,S00264,RapidWorks,2024-07-12,2024,Q3,Seed,3.95,34.97,38.92,17.1,Accel Partners,Private Equity,2,Fintech,Canada,North America,Vancouver,INV0004
R00424,S00265,RuneWorks,2022-05-16,2022,Q2,Seed,2.11,8.09,10.2,24.6,DST Global,Crowdfunding,4,E-Commerce,Japan,Asia,Tokyo,INV0033
R00425,S00265,RuneWorks,2020-02-13,2020,Q1,Series B,14.13,167.36,181.49,26.4,Coatue Management,Venture Capital,2,E-Commerce,Japan,Asia,Tokyo,INV0017
R00426,S00266,Veloio,2025-11-04,2025,Q4,Seed,3.25,19.2,22.45,21.6,Google Ventures,Corporate VC,8,Fintech,China,Asia,Shanghai,INV0059
R00427,S00266,Veloio,2020-02-02,2020,Q1,Series A,6.11,61.26,67.37,19.9,Bessemer Venture Partners,Venture Capital,3,Fintech,China,Asia,Shanghai,INV0013
R00428,S00267,FluxHealth,2020-03-22,2020,Q1,Seed,2.1,18.51,20.61,16.4,Samsung Ventures,Venture Capital,2,Web3 / Blockchain,Egypt,Africa,Cairo,INV0055
R00429,S00267,FluxHealth,2020-05-03,2020,Q2,Series B,19.99,124.12,144.11,21.7,Rakuten Capital,Venture Capital,4,Web3 / Blockchain,Egypt,Africa,Cairo,INV0063
R00430,S00268,ZenoBase,2021-09-23,2021,Q3,Seed,2.68,23.87,26.55,22.1,Google Ventures,Accelerator,3,Real Estate Tech,France,Europe,Toulouse,INV0059
R00431,S00269,OnyxForge,2023-05-26,2023,Q2,Pre-Seed,0.83,7.52,8.35,10.2,Atomico,Corporate VC,4,Climate Tech / Clean Energy,Brazil,South America,São Paulo,INV0032
R00432,S00269,OnyxForge,2021-06-09,2021,Q2,Series A,3.38,36.13,39.51,19.0,Accel India,Angel Investor,7,Climate Tech / Clean Energy,Brazil,South America,São Paulo,INV0073
R00433,S00270,DawnNet,2020-05-21,2020,Q2,Seed,0.84,4.46,5.3,15.0,Temasek,Venture Capital,8,Climate Tech / Clean Energy,United States,North America,San Francisco,INV0049
R00434,S00271,SageForge,2022-12-07,2022,Q4,Pre-Seed,0.94,7.57,8.51,5.8,Intel Capital,Venture Capital,3,Gaming & Entertainment,India,Asia,Chennai,INV0056
R00435,S00272,CloudSense,2023-02-22,2023,Q1,Pre-Seed,2.25,7.54,9.79,5.8,Partech Africa,Venture Capital,1,Robotics & Automation,United States,North America,New York,INV0069
R00436,S00272,CloudSense,2021-11-29,2021,Q4,Series A,8.05,64.23,72.28,28.5,Insight Partners,Private Equity,3,Robotics & Automation,United States,North America,New York,INV0010
R00437,S00273,QuarkForge,2024-04-28,2024,Q2,Seed,0.88,7.48,8.36,10.7,Norwest Venture Partners,Accelerator,2,SaaS / Enterprise Software,India,Asia,Hyderabad,INV0037
R00438,S00274,Cruxverse,2022-11-04,2022,Q4,Pre-Seed,0.35,1.11,1.46,10.9,Microsoft M12,Venture Capital,5,HR Tech,Japan,Asia,Osaka,INV0057
R00439,S00274,Cruxverse,2021-08-23,2021,Q3,Series A,7.52,56.65,64.17,29.1,Samsung Ventures,Corporate VC,5,HR Tech,Japan,Asia,Osaka,INV0055
R00440,S00274,Cruxverse,2025-03-05,2025,Q1,Series C,116.11,354.06,470.17,19.1,Rakuten Capital,Angel Investor,4,HR Tech,Japan,Asia,Osaka,INV0063
R00441,S00275,GridHub,2026-02-11,2026,Q1,Pre-Seed,0.23,0.86,1.09,6.8,Abu Dhabi Investment Authority,Venture Capital,6,Cybersecurity,France,Europe,Toulouse,INV0051
R00442,S00276,ZenoWare,2022-09-08,2022,Q3,Seed,1.9,6.0,7.9,14.9,500 Global,Venture Capital,2,Social Media / Creator Economy,United States,North America,Seattle,INV0023
R00443,S00277,Rapidverse,2024-08-25,2024,Q3,Pre-Seed,0.73,5.48,6.21,14.7,Partech,Government/Sovereign Fund,3,E-Commerce,South Korea,Asia,Busan,INV0046
R00444,S00278,NeoStack,2022-04-22,2022,Q2,Seed,1.46,7.6,9.06,11.7,Alibaba Group,Venture Capital,6,Food & AgriTech,Netherlands,Europe,Rotterdam,INV0054
R00445,S00278,NeoStack,2025-05-29,2025,Q2,Series B,46.11,289.21,335.32,19.7,Tencent,Corporate VC,2,Food & AgriTech,Netherlands,Europe,Rotterdam,INV0053
R00446,S00279,JetEnergy,2021-11-02,2021,Q4,Seed,1.33,11.76,13.09,14.5,Plug and Play,Venture Capital,6,Climate Tech / Clean Energy,United States,North America,San Francisco,INV0026
R00447,S00279,JetEnergy,2025-11-13,2025,Q4,Series A,28.73,132.15,160.88,26.8,Union Square Ventures,Angel Investor,4,Climate Tech / Clean Energy,United States,North America,San Francisco,INV0039
R00448,S00279,JetEnergy,2021-01-07,2021,Q1,Series C,113.69,376.39,490.08,18.5,LocalGlobe,Corporate VC,1,Climate Tech / Clean Energy,United States,North America,San Francisco,INV0042
R00449,S00280,MetaCore,2022-06-04,2022,Q2,Pre-Seed,0.29,2.44,2.73,10.1,DST Global,Corporate VC,1,E-Commerce,United States,North America,San Francisco,INV0033
R00450,S00281,EdgeBeam,2020-09-03,2020,Q3,Seed,4.1,40.8,44.9,23.6,Benchmark,Venture Capital,4,Real Estate Tech,Brazil,South America,Belo Horizonte,INV0008
R00451,S00282,UltraFinance,2023-04-16,2023,Q2,Seed,2.49,10.85,13.34,16.3,Matrix Partners,Crowdfunding,1,Fintech,United States,North America,Chicago,INV0022
R00452,S00283,WaveEnergy,2022-01-16,2022,Q1,Pre-Seed,0.72,4.27,4.99,7.9,Salesforce Ventures,Corporate VC,1,Fintech,India,Asia,Hyderabad,INV0058
R00453,S00283,WaveEnergy,2020-09-30,2020,Q3,Series A,7.76,90.23,97.99,21.8,Kingsway Capital,Private Equity,4,Fintech,India,Asia,Hyderabad,INV0067
R00454,S00284,QuantumWare,2025-07-26,2025,Q3,Pre-Seed,0.31,0.95,1.26,7.6,Naspers / Prosus,Venture Capital,4,Climate Tech / Clean Energy,United States,North America,Denver,INV0066
R00455,S00284,QuantumWare,2021-04-30,2021,Q2,Series A,12.38,146.89,159.27,22.3,Blume Ventures,Venture Capital,1,Climate Tech / Clean Energy,United States,North America,Denver,INV0071
R00456,S00285,ProtoRobotics,2022-03-19,2022,Q1,Seed,1.07,9.13,10.2,12.0,Peak XV Partners (fka Sequoia India),Venture Capital,2,Cybersecurity,United States,North America,Seattle,INV0021
R00457,S00285,ProtoRobotics,2021-05-26,2021,Q2,Series B,14.85,108.94,123.79,20.9,Elevation Capital,Private Equity,3,Cybersecurity,United States,North America,Seattle,INV0036
R00458,S00286,PulseLabs,2021-02-11,2021,Q1,Pre-Seed,0.59,3.4,3.99,13.7,SBI Investment,Private Equity,3,Logistics & Supply Chain,South Africa,Africa,Johannesburg,INV0065
R00459,S00286,PulseLabs,2025-09-08,2025,Q3,Series A,16.83,118.84,135.67,25.6,Saudi Aramco Ventures,Angel Investor,4,Logistics & Supply Chain,South Africa,Africa,Johannesburg,INV0052
R00460,S00287,ZenoCloud,2024-12-18,2024,Q4,Pre-Seed,0.29,1.76,2.05,12.3,B Capital Group,Corporate VC,10,E-Commerce,Singapore,Asia,Singapore,INV0048
R00461,S00288,KiteEnergy,2022-07-08,2022,Q3,Pre-Seed,0.36,1.11,1.47,5.2,Nexus Venture Partners,Government/Sovereign Fund,7,Cybersecurity,China,Asia,Shenzhen,INV0072
R00462,S00289,Yieldfy,2025-04-22,2025,Q2,Pre-Seed,0.48,1.8,2.28,6.5,Intel Capital,Venture Capital,2,Artificial Intelligence,United States,North America,Boston,INV0056
R00463,S00290,Fluxverse,2020-04-11,2020,Q2,Seed,2.43,21.29,23.72,23.6,Kingsway Capital,Venture Capital,4,SaaS / Enterprise Software,United Kingdom,Europe,Bristol,INV0067
R00464,S00291,NeoCloud,2023-10-15,2023,Q4,Seed,3.44,19.02,22.46,16.0,Rakuten Capital,Angel Investor,6,Healthcare & Biotech,United States,North America,Denver,INV0063
R00465,S00291,NeoCloud,2022-12-30,2022,Q4,Series B,51.3,593.72,645.02,21.0,Antler,Corporate VC,4,Healthcare & Biotech,United States,North America,Denver,INV0027
R00466,S00291,NeoCloud,2020-09-27,2020,Q3,Series C,54.52,204.51,259.03,23.4,BlueYard Capital,Venture Capital,6,Healthcare & Biotech,United States,North America,Denver,INV0029
R00467,S00292,CloudDynamics,2021-04-22,2021,Q2,Seed,5.63,45.1,50.73,17.5,Ribbit Capital,Venture Capital,2,Logistics & Supply Chain,Mexico,South America,Monterrey,INV0016
R00468,S00293,SageSecurity,2025-07-24,2025,Q3,Pre-Seed,0.5,2.66,3.16,6.5,Y Combinator,Venture Capital,3,E-Commerce,India,Asia,Bangalore,INV0007
R00469,S00294,OnyxTech,2024-01-02,2024,Q1,Pre-Seed,0.45,2.02,2.47,8.3,LocalGlobe,Crowdfunding,2,Healthcare & Biotech,United Kingdom,Europe,Bristol,INV0042
R00470,S00295,GridLink,2021-06-26,2021,Q2,Seed,3.18,20.42,23.6,14.2,Sapphire Ventures,Angel Investor,6,Logistics & Supply Chain,United States,North America,Seattle,INV0035
R00471,S00296,EchoMind,2023-04-13,2023,Q2,Seed,1.61,5.87,7.48,11.4,LocalGlobe,Venture Capital,2,HR Tech,Argentina,South America,Buenos Aires,INV0042
R00472,S00296,EchoMind,2024-02-21,2024,Q1,Series A,20.61,157.73,178.34,15.8,Intel Capital,Accelerator,9,HR Tech,Argentina,South America,Buenos Aires,INV0056
R00473,S00297,HubLink,2023-05-28,2023,Q2,Pre-Seed,0.46,4.05,4.51,8.9,Google Ventures,Government/Sovereign Fund,5,Cybersecurity,United States,North America,Los Angeles,INV0059
R00474,S00298,FluxForge,2024-04-01,2024,Q2,Seed,0.9,7.61,8.51,14.0,SOSV,Crowdfunding,8,SaaS / Enterprise Software,Australia,Oceania,Melbourne,INV0025
R00475,S00299,AstraNet,2022-12-29,2022,Q4,Seed,1.14,8.22,9.36,12.9,Intel Capital,Private Equity,3,Healthcare & Biotech,China,Asia,Guangzhou,INV0056
R00476,S00299,AstraNet,2025-05-22,2025,Q2,Series A,25.17,217.4,242.57,27.9,B Capital Group,Corporate VC,3,Healthcare & Biotech,China,Asia,Guangzhou,INV0048
R00477,S00299,AstraNet,2022-01-21,2022,Q1,Series B,28.5,252.67,281.17,15.8,B Capital Group,Accelerator,3,Healthcare & Biotech,China,Asia,Guangzhou,INV0048
R00478,S00300,FluxSecurity,2025-09-05,2025,Q3,Pre-Seed,0.28,1.25,1.53,12.9,Google Ventures,Corporate VC,1,HR Tech,Brazil,South America,São Paulo,INV0059
R00479,S00301,RapidLabs,2020-10-19,2020,Q4,Pre-Seed,0.6,5.6,6.2,10.0,Partech,Venture Capital,2,Healthcare & Biotech,Israel,Middle East,Tel Aviv,INV0046
R00480,S00301,RapidLabs,2025-06-19,2025,Q2,Series A,15.02,119.92,134.94,28.9,Founders Fund,Venture Capital,1,Healthcare & Biotech,Israel,Middle East,Tel Aviv,INV0014
R00481,S00301,RapidLabs,2024-07-23,2024,Q3,Series C,287.32,1672.58,1959.9,15.9,Sequoia Capital,Venture Capital,2,Healthcare & Biotech,Israel,Middle East,Tel Aviv,INV0001
R00482,S00302,EchoAI,2025-08-17,2025,Q3,Seed,3.31,16.94,20.25,14.3,Point Nine Capital,Corporate VC,2,Fintech,Egypt,Africa,Cairo,INV0044
R00483,S00302,EchoAI,2021-06-16,2021,Q2,Series B,14.27,103.98,118.25,16.1,SoftBank Vision Fund,Corporate VC,1,Fintech,Egypt,Africa,Cairo,INV0005
R00484,S00303,EdgeForge,2025-06-07,2025,Q2,Seed,3.18,22.4,25.58,23.8,Balderton Capital,Venture Capital,7,Logistics & Supply Chain,Vietnam,Asia,Ho Chi Minh City,INV0031
R00485,S00303,EdgeForge,2024-05-02,2024,Q2,Series A,8.24,59.46,67.7,24.1,Seedcamp,Venture Capital,7,Logistics & Supply Chain,Vietnam,Asia,Ho Chi Minh City,INV0028
R00486,S00304,ApexWorks,2023-10-24,2023,Q4,Pre-Seed,0.7,3.33,4.03,7.4,Accel Partners,Venture Capital,2,Fintech,United States,North America,Seattle,INV0004
R00487,S00304,ApexWorks,2020-02-18,2020,Q1,Series A,12.68,56.69,69.37,22.2,Balderton Capital,Corporate VC,7,Fintech,United States,North America,Seattle,INV0031
R00488,S00304,ApexWorks,2021-05-19,2021,Q2,Series C,73.14,220.43,293.57,10.1,Temasek,Venture Capital,6,Fintech,United States,North America,Seattle,INV0049
R00489,S00305,IonEnergy,2025-02-08,2025,Q1,Pre-Seed,0.51,1.56,2.07,12.3,Redpoint Ventures,Venture Capital,5,E-Commerce,United States,North America,Boston,INV0038
R00490,S00306,TideCloud,2020-11-02,2020,Q4,Seed,2.65,25.63,28.28,14.8,Antler,Venture Capital,7,Fintech,Japan,Asia,Tokyo,INV0027
R00491,S00307,CoreFlow,2020-03-25,2020,Q1,Pre-Seed,0.68,4.24,4.92,9.1,SoftBank Vision Fund,Venture Capital,1,Healthcare & Biotech,Brazil,South America,São Paulo,INV0005
R00492,S00307,CoreFlow,2022-02-04,2022,Q1,Series A,17.72,194.39,212.11,25.3,Y Combinator,Corporate VC,3,Healthcare & Biotech,Brazil,South America,São Paulo,INV0007
R00493,S00307,CoreFlow,2025-07-25,2025,Q3,Series B,19.44,101.15,120.59,19.9,TLcom Capital,Venture Capital,6,Healthcare & Biotech,Brazil,South America,São Paulo,INV0068
R00494,S00308,TerraWare,2022-02-17,2022,Q1,Pre-Seed,1.92,10.98,12.9,14.3,Google Ventures,Venture Capital,3,Artificial Intelligence,Brazil,South America,Belo Horizonte,INV0059
R00495,S00309,RapidHealth,2025-06-01,2025,Q2,Pre-Seed,0.79,4.57,5.36,5.2,DST Global,Venture Capital,4,Healthcare & Biotech,United States,North America,Seattle,INV0033
R00496,S00309,RapidHealth,2024-01-23,2024,Q1,Series A,8.68,77.49,86.17,15.3,Headline,Corporate VC,6,Healthcare & Biotech,United States,North America,Seattle,INV0045
R00497,S00310,BoltX,2022-03-22,2022,Q1,Seed,1.67,5.53,7.2,17.1,Nexus Venture Partners,Angel Investor,2,Artificial Intelligence,India,Asia,Chennai,INV0072
R00498,S00311,BoltHub,2025-01-09,2025,Q1,Seed,2.77,19.13,21.9,16.4,Amazon Alexa Fund,Private Equity,6,Food & AgriTech,United States,North America,Austin,INV0061
R00499,S00312,VibePay,2023-12-07,2023,Q4,Pre-Seed,0.52,4.51,5.03,8.0,Samsung Ventures,Crowdfunding,4,E-Commerce,South Korea,Asia,Seoul,INV0055
R00500,S00313,JetDynamics,2025-06-16,2025,Q2,Seed,2.89,26.25,29.14,13.1,Bessemer Venture Partners,Venture Capital,1,Artificial Intelligence,United States,North America,San Francisco,INV0013
R00501,S00313,JetDynamics,2023-05-18,2023,Q2,Series B,10.22,121.38,131.6,24.9,Point Nine Capital,Venture Capital,7,Artificial Intelligence,United States,North America,San Francisco,INV0044
R00502,S00314,ApexSystems,2020-07-29,2020,Q3,Seed,0.77,4.87,5.64,14.0,NVIDIA NVentures,Venture Capital,3,Real Estate Tech,United Kingdom,Europe,Manchester,INV0060
R00503,S00315,PixelFinance,2021-02-14,2021,Q1,Seed,0.89,8.31,9.2,16.7,Atomico,Venture Capital,3,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0032
R00504,S00315,PixelFinance,2025-07-26,2025,Q3,Series A,28.89,236.0,264.89,28.6,Seedcamp,Venture Capital,6,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0028
R00505,S00315,PixelFinance,2020-03-01,2020,Q1,Series B,26.6,297.51,324.11,19.5,EQT Ventures,Venture Capital,3,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0030
R00506,S00316,OrionCloud,2021-09-04,2021,Q3,Pre-Seed,0.68,2.54,3.22,14.7,Accel Partners,Family Office,3,SaaS / Enterprise Software,United States,North America,Seattle,INV0004
R00507,S00316,OrionCloud,2022-04-26,2022,Q2,Seed,3.34,17.57,20.91,17.2,Draper Associates,Venture Capital,11,SaaS / Enterprise Software,United States,North America,Seattle,INV0041
R00508,S00317,ZenSense,2025-07-05,2025,Q3,Seed,0.65,6.45,7.1,10.8,Seedcamp,Venture Capital,6,Fintech,Singapore,Asia,Singapore,INV0028
R00509,S00317,ZenSense,2022-04-17,2022,Q2,Series A,11.51,120.03,131.54,25.7,Saudi Aramco Ventures,Private Equity,2,Fintech,Singapore,Asia,Singapore,INV0052
R00510,S00318,IonTech,2024-11-22,2024,Q4,Seed,1.41,6.9,8.31,19.3,GIC,Crowdfunding,1,Gaming & Entertainment,India,Asia,Chennai,INV0050
R00511,S00318,IonTech,2022-10-26,2022,Q4,Series B,44.66,197.3,241.96,20.6,Chiratae Ventures,Venture Capital,5,Gaming & Entertainment,India,Asia,Chennai,INV0070
R00512,S00318,IonTech,2022-12-09,2022,Q4,Series C,139.21,914.7,1053.91,22.4,Founders Fund,Venture Capital,1,Gaming & Entertainment,India,Asia,Chennai,INV0014
R00513,S00319,GridBio,2020-01-11,2020,Q1,Pre-Seed,0.94,6.64,7.58,13.7,NVIDIA NVentures,Corporate VC,3,E-Commerce,Israel,Middle East,Jerusalem,INV0060
R00514,S00320,HubRobotics,2025-04-08,2025,Q2,Seed,1.44,8.52,9.96,14.7,IVP,Venture Capital,6,Climate Tech / Clean Energy,India,Asia,Pune,INV0034
R00515,S00321,IonAnalytics,2021-01-06,2021,Q1,Pre-Seed,0.34,2.06,2.4,10.3,Insight Partners,Accelerator,1,SaaS / Enterprise Software,India,Asia,Pune,INV0010
R00516,S00322,AlphaCloud,2024-06-03,2024,Q2,Pre-Seed,0.28,1.68,1.96,10.0,Alibaba Group,Accelerator,1,Fintech,Mexico,South America,Monterrey,INV0054
R00517,S00323,OnyxEnergy,2024-04-05,2024,Q2,Seed,4.24,24.77,29.01,15.1,Andreessen Horowitz (a16z),Accelerator,3,Fintech,Israel,Middle East,Tel Aviv,INV0002
R00518,S00323,OnyxEnergy,2025-07-04,2025,Q3,Series A,17.72,212.4,230.12,16.2,Elevation Capital,Corporate VC,5,Fintech,Israel,Middle East,Tel Aviv,INV0036
R00519,S00324,CyberHub,2023-08-08,2023,Q3,Pre-Seed,1.24,6.62,7.86,5.2,Bessemer Venture Partners,Venture Capital,2,Food & AgriTech,Australia,Oceania,Melbourne,INV0013
R00520,S00325,KiteDynamics,2021-05-14,2021,Q2,Pre-Seed,0.16,0.53,0.69,7.5,Accel Partners,Angel Investor,6,Artificial Intelligence,United Kingdom,Europe,London,INV0004
R00521,S00326,ProtoSense,2024-12-10,2024,Q4,Seed,2.54,22.42,24.96,19.4,Accel Partners,Angel Investor,7,Real Estate Tech,United Kingdom,Europe,Manchester,INV0004
R00522,S00327,VeloCore,2023-06-16,2023,Q2,Seed,1.32,6.55,7.87,10.4,Khosla Ventures,Venture Capital,6,E-Commerce,United States,North America,New York,INV0012
R00523,S00328,DawnLabs,2022-01-27,2022,Q1,Pre-Seed,0.9,4.97,5.87,14.2,Lightspeed Venture Partners,Crowdfunding,1,Healthcare & Biotech,United States,North America,Chicago,INV0006
R00524,S00329,VertexHub,2025-10-21,2025,Q4,Pre-Seed,0.72,5.87,6.59,11.6,NVIDIA NVentures,Angel Investor,4,Cybersecurity,United Kingdom,Europe,Manchester,INV0060
R00525,S00330,PulseSystems,2022-07-18,2022,Q3,Seed,2.7,19.54,22.24,14.3,Rakuten Capital,Corporate VC,2,Healthcare & Biotech,China,Asia,Hangzhou,INV0063
R00526,S00330,PulseSystems,2021-09-03,2021,Q3,Series B,54.36,278.91,333.27,27.4,Saudi Aramco Ventures,Venture Capital,2,Healthcare & Biotech,China,Asia,Hangzhou,INV0052
R00527,S00331,OrionLink,2025-02-08,2025,Q1,Seed,1.89,7.54,9.43,13.3,Matrix Partners,Venture Capital,2,Healthcare & Biotech,United States,North America,Miami,INV0022
R00528,S00331,OrionLink,2025-02-04,2025,Q1,Series B,96.22,509.54,605.76,28.2,Techstars,Corporate VC,4,Healthcare & Biotech,United States,North America,Miami,INV0024
R00529,S00331,OrionLink,2025-05-27,2025,Q2,Series C,34.02,234.84,268.86,23.0,Partech Africa,Venture Capital,4,Healthcare & Biotech,United States,North America,Miami,INV0069
R00530,S00332,BetaPlatform,2022-11-30,2022,Q4,Pre-Seed,0.6,5.05,5.65,10.9,Samsung Ventures,Venture Capital,2,Robotics & Automation,United States,North America,Miami,INV0055
R00531,S00332,BetaPlatform,2021-03-18,2021,Q1,Series A,10.99,61.16,72.15,25.5,Salesforce Ventures,Venture Capital,3,Robotics & Automation,United States,North America,Miami,INV0058
R00532,S00333,VeloPlatform,2025-04-13,2025,Q2,Seed,1.32,11.73,13.05,21.2,Founders Fund,Corporate VC,2,Healthcare & Biotech,United States,North America,Boston,INV0014
R00533,S00333,VeloPlatform,2022-03-23,2022,Q1,Series B,19.74,160.77,180.51,16.7,Norwest Venture Partners,Venture Capital,8,Healthcare & Biotech,United States,North America,Boston,INV0037
R00534,S00333,VeloPlatform,2020-06-30,2020,Q2,Series D,70.21,508.71,578.92,22.6,Amazon Alexa Fund,Government/Sovereign Fund,4,Healthcare & Biotech,United States,North America,Boston,INV0061
R00535,S00334,NovaX,2022-10-04,2022,Q4,Seed,0.5,4.08,4.58,11.4,Ribbit Capital,Venture Capital,3,Healthcare & Biotech,United States,North America,San Francisco,INV0016
R00536,S00335,VertexSystems,2023-07-12,2023,Q3,Seed,3.09,21.47,24.56,10.9,Nexus Venture Partners,Venture Capital,1,Artificial Intelligence,United States,North America,Chicago,INV0072
R00537,S00336,NovaAI,2024-05-05,2024,Q2,Seed,1.26,11.96,13.22,16.5,Greylock Partners,Venture Capital,5,Fintech,United States,North America,Boston,INV0018
R00538,S00337,Pixelio,2022-06-14,2022,Q2,Seed,0.58,4.4,4.98,24.0,Balderton Capital,Corporate VC,4,Healthcare & Biotech,China,Asia,Guangzhou,INV0031
R00539,S00338,XenoSecurity,2023-10-31,2023,Q4,Pre-Seed,0.27,1.71,1.98,13.8,SOSV,Angel Investor,3,SaaS / Enterprise Software,United States,North America,San Diego,INV0025
R00540,S00339,KiteBase,2023-10-18,2023,Q4,Pre-Seed,0.13,0.71,0.84,5.5,500 Global,Venture Capital,5,Gaming & Entertainment,India,Asia,Mumbai,INV0023
R00541,S00339,KiteBase,2023-07-21,2023,Q3,Series A,13.56,65.09,78.65,25.6,Alibaba Group,Venture Capital,2,Gaming & Entertainment,India,Asia,Mumbai,INV0054
R00542,S00340,VeloLink,2021-02-18,2021,Q1,Seed,1.27,4.96,6.23,15.0,Google Ventures,Venture Capital,2,Food & AgriTech,Japan,Asia,Osaka,INV0059
R00543,S00341,DeltaHealth,2023-12-18,2023,Q4,Pre-Seed,0.68,3.94,4.62,5.1,Kingsway Capital,Family Office,5,Artificial Intelligence,United States,North America,San Francisco,INV0067
R00544,S00342,ZenoSpace,2024-06-15,2024,Q2,Seed,1.64,8.03,9.67,12.1,Balderton Capital,Venture Capital,4,Edtech,United States,North America,Chicago,INV0031
R00545,S00342,ZenoSpace,2020-12-21,2020,Q4,Series B,36.27,416.88,453.15,29.2,LocalGlobe,Venture Capital,3,Edtech,United States,North America,Chicago,INV0042
